	GPA Range	Degree	Specialization	GPA	courses
98	3	1	0	3.6695034089722554	CS5237,CS2040,CS4216,CS5238,CS4220,CS4232,CS4257,CS4214,CS3236,CS3234,CS5219,CS5271,CS6215,CS3230,CS5214,CS4215,CS6202,CS5230,CS4234,CS5215
99	3	1	1	3.9429194431205183	CS2309,CS1010S,CS2040,CS1010E,CS1010FC/X,CS1231,CS2030,CS1280,CS3236,CS5330,CS1281,CS2010,CS1101S,CS4221,CS1010,CS2040C,CS2020,CS1020E
100	3	0	1	3.394426886092705	CS5424,CS5229,CS5223,CS4237,CS6204,CS3281,CS5233,CS6213,CS4231,CS2105,CS6203,CS5321,CS1020E
101	3	0	5	3.9483163922057414	CS5424,CS5425,CS5346,CS6270,CS4220,CS2102,CS6211,CS5322,CS6203
102	3	1	9	3.774509423192452	CS5238,CS6270,CS2220,CS4237,CS3281,CS5233,CS6213,CS6211,CS5250,CS4345,CS2106,CS4223,CS5224
103	4	1	3	4.221123866151669	CS3202,CS3201,CS4344,CS3205,CS5271,CS2103,CS4880,CS6220,CS4239
104	3	0	2	3.1806494111145485	CS6206,CS5346,CS4237,CS5249,CS2108,CS6212,CS4241,CS3245,CS5246,CS4248,CS5241
105	3	0	6	3.8699205804250627	CS3221,CS5237,CS5422,CS5346,CS6240,CS5223,CS3236,CS3230,CS5248,CS3284,CS4232,CS4234,CS5236,CS3235
106	3	0	6	3.204688717976832	CS3221,CS5322,CS2107,CS6209,CS5331,CS5476,CS5332,CS6211,CS4257,CS4271,CS6231,CS4239,CS6230,CS5439,CS5231
107	3	0	1	3.7411606451829016	CS3221,CS4224,CS2220,CS6280,CS5228,CS5476,CS4220,CS2102,CS4236,CS4271,CS4221,CS3210,BT5110,CS3235,CS5439,CS6203,CS6220,CS5344
108	3	1	1	3.1489027227011643	CS3243,CS4243,CS5425,CS3237,CS6270,CS2100,CS4223,CS4248
109	3	1	2	3.7970025381851	CS3221,CS5237,CS5240,CS5322,CS5439,CS5331,CS5332,CS4238,CS4235,CS4234,CS4236,CS3240,CS6212,CS4239,CS3233,CS3235,CS6230,CS4240
110	2	1	6	2.845979751016529	CS4224,CS6270,CS4220,CS4221,CS3201,CS5322,CS5228,CS5271,CS3203,CS3217,CS4345,CS5250,CS2104,CS4225,CS5272,CS3283,CS3205,CS4239,CS3223,CS2103T,CS6280,CS3211,CS6213,BT5110
111	3	1	5	3.1136375047875324	CS4211,CS5223,CS4237,CS5222,CS4220,CS6213,CS2281,CS6211,CS2100,CS4231,CS2106,CS4223,CS3212,CS5224,CS4345
112	3	0	5	3.1095469904314434	CS5237,CS4224,CS5238,CS4232,CS4257,CS4221,CS6220,CS5322,CS5228,CS5236,CS4225,CS5424,CS3230,CS4231,CS5230,CS6213,CS4234,CS5234,CS6203
113	3	1	7	3.3576255929067482	CS5238,CS2220,CS3236,CS6205,CS3230,CS5330,CS4232,CS4234,CS4257,CS2100,CS5236,CS6234,CS5234,CS4231,CS5215
114	2	0	1	2.119382310105353	CS4216,CS2113,CS5271,CS3234,CS3217,CS3203,CS5342,CS3235,CS6207,CS4248
115	3	0	2	3.2229767664968185	CS3221,CS5223,CS2100,CS5332,CS2309,CS3201,CS5271,CS5222,CS2040C,CS5224,CS1231,CS1281,CS4239,CS1020,CS1010FC/X,CS3211,CS6213,CS2010,CS1010J
116	3	0	0	3.238502870423809	CS6206,CS3221,CS4350,CS3242,CS3202,CS5271,CS3284,CS3226,CS4271,CS3235,CS5439,CS4218,CS4211,CS5232,CS5272,CS5343,CS3283,CS3216,CS6212,CS2103T,CS5476,CS4236,CS5322
117	3	0	8	3.5454874015856666	CS1010FC/X,CS2040,CS1010E,CS1010S,CS1231,CS1280,CS6241,CS1281,CS1101S,CS2010,CS2100,CS1010,CS5250,CS5344,CS1010J,CS1020E
118	3	0	4	3.036732572502813	CS1010FC/X,CS2030,CS1280,CS5223,CS3281,CS1281,CS2010,CS6211,CS3282,CS2040C,CS4214,CS3245,CS4222,CS2020
119	4	0	1	4.106453674162317	CS5346,CS5223,CS4237,CS3236,CS5230,CS3230,CS3233,CS6213,CS4257,CS2100,CS5226,CS4231,CS5234,CS4222,CS6203,CS5321
120	3	0	1	3.6551113084021303	CS4243,CS6270,CS5228,CS5478,CS5239,CS5222,BT5110,CS5344,CS3218,CS4246
121	3	0	6	3.2515962478125213	CS6206,CS5424,CS3247,CS4243,CS5223,CS3211,CS5330,CS5233,CS3281,CS3282,CS2281,CS6211,CS6213,CS4231,CS4345,CS5250
122	3	1	6	3.063967527054084	CS3221,CS5439,CS2107,CS5331,CS5476,CS4238,CS5332,CS6211,CS4257,CS6231,CS4236,CS4239,CS5322,CS3235,CS6230,CS5231
123	3	1	5	3.937349365440404	CS5425,CS2030,CS5228,CS6222,CS6208,BT5110,CS5215,CS1010J,CS1020E
124	3	0	1	3.485943364674455	CS2040,CS5346,CS6240,CS1280,CS5223,CS5340,CS4235,CS4241,CS4248,CS4245,CS3284,CS2040C,CS2220,CS6212,CS5244,CS1020,CS1010FC/X,CS6244,CS3245
125	3	1	9	3.4369987573387832	CS5424,CS3220,CS5238,CS2220,CS5230,CS3211,CS5239,CS3225,CS5330,CS2281,CS5233,CS4232,CS3281,CS4231,CS2106,CS5224
126	3	1	6	3.9120512887325054	CS3205,CS5223,CS5271,CS5239,CS5222,CS3211,CS4880,CS3281,CS3282,CS6211,CS3217,CS3234,CS3284,CS6215,CS4214
127	2	0	5	2.780070560123997	CS5240,CS3235,CS4239,CS2107,CS3240,CS4235,CS6211,CS4240,CS4271,CS6231,CS5332,CS4236,CS2113T,CS6230,CS3218,CS5231,CS4345,CS2020
128	3	0	5	3.3113782142891135	CS3202,CS5237,CS2113,CS4211,CS3219,CS3882,CS5230,CS5271,CS3284,CS4232,CS3216,CS2100,CS4218,CS2103T
129	3	0	9	3.4875703503770668	CS6206,CS4243,CS3241,CS5240,CS6240,CS5228,CS4242,CS3249,CS6220,CS6212,CS3245,CS5246,CS4248,CS4249
130	2	1	9	2.4997095053919685	CS1010S,CS1010FC/X,CS1010E,CS1010J,CS2030,CS6270,CS5234,CS5223,CS4237,CS4232,CS2010,CS6213,CS1281,CS4231,CS5250,CS1020,CS4248,CS1020E
131	3	0	4	3.4137281003377846	CS2104,CS4211,CS5232,CS5272,CS6270,CS6280,CS3283,CS5271,CS3234,CS5219,CS2103,CS3203,CS3211,CS3282,CS6220,CS4218,CS5218
132	2	0	3	2.425697293284665	CS2309,CS1010S,CS5228,CS2281,CS1281,CS1101S,CS4246,CS1020,CS1010J,CS1020E
133	3	1	2	3.4164434040386817	CS5237,CS2220,CS5234,CS3236,CS3230,CS5330,CS3225,CS3282,CS4234,CS4257,CS4232,CS4231,CS3233
134	2	1	7	2.633845886777324	CS6206,CS3247,CS5237,CS5238,CS4351,CS4214,CS5219,CS5236,CS6215,CS2104,CS4243,CS5343,CS4212,CS4215,CS4247,CS3211,CS6243,CS3249,CS3212,CS5215,CS1010J,CS4249
135	3	1	5	3.3502841073717384	CS4226,CS3201,CS3220,CS5238,CS4214,CS5230,CS5271,CS3225,CS3281,CS5233,CS3282,CS4222,CS4271,CS6234,CS5321
136	3	0	1	3.144905436349583	CS3237,CS3220,CS4344,CS6270,CS3281,CS4239,CS5439,CS4345
137	3	0	1	3.6909837489813215	CS3241,CS5346,CS4344,CS3281,CS4235,CS3271,CS4248,CS4214,CS3234,CS3203,CS5232,CS5272,CS3205,CS3282,CS4231,CS5229,CS5246,CS3212,CS6203,CS4242
138	3	0	9	3.9630890410235615	CS5346,CS4344,CS3103,CS6270,CS5234,CS5249,CS4232,CS4241,CS4248,CS3236,CS5236,CS6204,CS5424,CS3220,CS2220,CS3283,CS6212,CS5244,CS5248,CS6213,CS3245
139	3	0	8	3.7517811883704337	CS6206,CS5244,CS5345,CS6240,CS6207,CS3284,CS6212,CS4345,CS3245,CS4242,CS5241
140	3	1	9	3.262286358158488	CS6206,CS6240,CS5249,CS3242,CS3281,CS4347,CS2100,CS6220,CS4241,CS4345,CS3283,CS2108,CS3282,CS5214,CS5342,CS4239,CS5241,CS4247,CS5248,CS6213,CS3245,CS4242,CS4249
141	3	0	3	3.8608367359067004	CS1010S,CS6202,CS1231,CS3283,CS6280,CS5478,CS5239,CS3217,BT5110,CS2103T,CS1020E
142	3	1	6	3.2303768860165367	CS2040,CS3220,CS1010E,CS5422,CS2220,CS1280,CS3282,CS6213,CS2100,CS2040C,CS2105,CS1010J,CS5321,CS6204
143	3	0	7	3.4614379244907094	CS4243,CS6202,CS4247,CS5218,CS5228,CS3211,CS5271,CS5214,CS5226,CS5344,CS4212
144	3	1	2	3.854767056436744	CS6206,CS5249,CS4241,CS3271,CS4248,CS4245,CS4226,CS3234,CS6211,CS2108,CS1281,CS5342,CS6212,CS4239,CS5241,CS1010FC/X,CS5229,CS5248,CS4242
145	3	1	1	3.362487588126036	CS2104,CS1010S,CS1010FC/X,CS2030,CS1231,CS4237,CS3211,CS1101S,CS5214,CS2040C,CS3212,CS6215,CS5215,CS1020,CS1010J
146	3	0	9	3.2154817263760416	CS2104,CS4216,CS1010E,CS6202,CS3211,CS5219,CS5271,CS5215,CS2020,CS5214,CS3212,CS6215,CS4212,CS5218,CS4214
147	3	1	0	3.4625340620835487	CS4211,CS6270,CS6280,CS3283,CS2103,CS3281,CS4880,CS2100,CS4231,CS4223,CS3271,CS4218,CS2103T
148	3	1	4	3.886266535481901	CS1010S,CS2113,CS3219,CS3226,CS4880,CS4238,CS2010,CS6231,CS4271,CS2040C,CS4246,CS2020
